"DistributionChannel","Duration (in seconds)","EndDate","Finished","Progress","Q5","Q8_1","Q8_2","Q8_3","Q8_4","Q12_1","Q12_2","Q12_3","Q12_4","Q13","Q15_1","Q15_2","Q15_3","Q15_4","Q16...17","Q16...30","Q18","Q18_1","Q18_2","Q18_3","Q18_4","Q19...24","Q19...29","Q20","Q21...11","Q21...12","RecordedDate","ResponseId","StartDate","Status","UserLanguage"
"anonymous","49","2022-12-13 21:49:10","True","100","Moderately familiar","2","4","2","4","1","3","2","4","Not familiar at all","5","5","4","3","no","Slightly familiar","no","4","5","3","4","Very familiar","no","no","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","60fd0638ea398c6e93d6ba62","2022-12-13 21:49:11","R_2YJPbhg5kTyX1Cf","2022-12-13 21:48:21","IP Address","EN"
"anonymous","313","2022-12-13 21:49:48","True","100","Extremely familiar","1","5","1","4","5","3","2","4","Extremely familiar","2","1","5","1","Infused, traditional","Slightly familiar","Listed simply which is nice","2","4","4","5","Very familiar","Specific ingredients listed, classic, age old","Things like gluten free, low fat makes it sound less appealing","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","612856ee4e5838c1e1bf6dd3","2022-12-13 21:49:48","R_2S9uB3f9QgPHZa3","2022-12-13 21:44:34","IP Address","EN"
"anonymous","326","2022-12-13 22:00:59","True","100","Slightly familiar","1","5","1","1","5","3","1","5","Very familiar","2","2","6","1","Traditional,  Iraqi, dolma","Slightly familiar","Ingredients","6","5","5","3","Moderately familiar","Abuelita","Low fat, soy sauce along side indian dishes","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","558b7506fdf99b21155f2bd7","2022-12-13 22:00:59","R_3qWeTa6moVuit6f","2022-12-13 21:55:33","IP Address","EN"
"anonymous","274","2022-12-13 22:01:04","True","100","Slightly familiar","1","6","1","1","3","6","1","4","Not familiar at all","3","5","2","6","Yum","Not familiar at all","Okay","4","4","4","4","Not familiar at all","Plain","Bland","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","639932adfaf4beb7ac317e9c","2022-12-13 22:01:04","R_3KVheMUhS9NaBTt","2022-12-13 21:56:30","IP Address","EN"
"anonymous","276","2022-12-13 22:01:39","True","100","Slightly familiar","3","6","1","2","3","2","2","4","Slightly familiar","5","2","5","3",NA,"Moderately familiar",NA,"5","2","2","2","Slightly familiar",NA,NA,"I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","5f831c425ca1f40800de0cd4","2022-12-13 22:01:39","R_eDkw8MIPsbpX1DP","2022-12-13 21:57:02","IP Address","EN"
"anonymous","539","2022-12-13 22:04:18","True","100","Slightly familiar","2","6","2","2","2","3","2","4","Very familiar","4","3","3","4","Mashi, traditional Iraqi, traditional middle eastern, Khema","Very familiar","Minimal descriptions tend to come with more authentic restaurants, toum,","4","4","4","5","Very familiar","baby shrimp, age-old, white rice, avocado salad, Cubans everywhere, classic recipe","""everest noodles"", low fat, salad fixings","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","6086d51398f8963033d1a0e4","2022-12-13 22:04:19","R_DLRjITyiC24ihON","2022-12-13 21:55:18","IP Address","EN"
"anonymous","338","2022-12-13 22:06:16","True","100","Not familiar at all","1","5","2","2","1","3","2","3","Moderately familiar","2","2","6","1","Iraqi-style and traditional","Moderately familiar","Lack of description just made it seem more blah","6","4","3","2","Not familiar at all","Traditional and classic","Gluten free and low fat","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","5f76e3cb694f66194fba160a","2022-12-13 22:06:16","R_4OvU1mFnYTGCIfv","2022-12-13 22:00:37","IP Address","EN"
"anonymous","538","2022-12-13 22:07:19","True","100","Not familiar at all","1","6","1","1","1","2","1","6","Slightly familiar","2","1","6","1",NA,"Slightly familiar",NA,"6","1","1","3","Not familiar at all",NA,NA,"I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","5ce9bfc4d439ae00015968dd","2022-12-13 22:07:19","R_2AHG3EKM5HIQgu6","2022-12-13 21:58:20","IP Address","EN"
"anonymous","393","2022-12-13 22:09:31","True","100","Not familiar at all","1","6","3","2","1","2","1","5","Slightly familiar","1","4","6","2","Mention of certain types of rice and syrups","Very familiar","The dough for the baklava, the falafel","5","2","3","3","Not familiar at all","Use of words I know and I’m familiar with, used to describe dishes I know of. Flan being called caramelized custard","More vague wording than last menu. I could recognize more ingredients than the last one","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","629e2f3f5fcc6b4b375f3715","2022-12-13 22:09:31","R_dpscWCSmAfbLQGJ","2022-12-13 22:02:57","IP Address","EN"
"anonymous","1557","2022-12-13 22:14:15","True","100","Not familiar at all","2","6","2","1","2","3","1","3","Slightly familiar","1","1","6","1","""Iraqi-style"" ""perfect traditional","Not familiar at all","Not so much the words or phrases used, but the brevity of the menu","6","3","3","3","Not familiar at all","""age-old"" ""classic""","""Amazing either way!""","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","62dc761564191bc28a87e7c7","2022-12-13 22:14:15","R_Ua7oPySszVcQpTb","2022-12-13 21:48:17","IP Address","EN"
